ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
Y,4,WARRY,Christina,Australian Labor Party,1,148,Transfer,
Y,5,HENDERSON,Jen,Australian Labor Party,1,160,Transfer,
Y,6,PASCOE,Richard,Australian Labor Party,1,140,Transfer,
UG,1,LYON,Robert,Katter's Australian Party (KAP),1,188,Transfer,
UG,2,SCHEFE,David John,Independent,1,107,Transfer,
UG,3,TEMPLE,Lindsay,Independent,1,208,Transfer,
UG,4,HAMILTON,Chey Geoffrey,Independent,1,48,Transfer,
UG1,1,SMITH,Lorraine,Independent,1,95,Transfer,
UG1,2,QUINLIVAN,Laurence,Independent,1,77,Transfer,
UG1,3,KOCHARDY,Karakan Karoly,Independent,1,84,Transfer,
UG1,4,ROGERS,Peter,Independent,1,144,Transfer,
