ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate
AI,2,STIVANO,Sherrill,CountryMinded,,,
AJ,1,DAVEY,Jeremy,Veterans Party,,,
AJ,2,HODKINSON,Darryl,Veterans Party,,,
AK,1,WATERS,Larissa,The Greens,,,
AK,2,BARTLETT,Andrew,The Greens,,,
AK,3,PENNINGS,Ben,The Greens,,,
AK,4,KLOOT,Johanna,The Greens,,,
AK,5,ANDERSON,Fiona,The Greens,,,
AK,6,WORRINGHAM,Charles,The Greens,,,
AK,7,SKINNER,Rainee,The Greens,,,
AK,8,LEO,Janina,The Greens,,,
AK,9,ANDERSON,Meg,The Greens,,,
AK,10,NOBLE,Louise,The Greens,,,
AK,11,KENNEDY,Kirsten,The Greens,,,
AK,12,QUIRK,Elena,The Greens,,,
AL,1,ROLES,John,Sustainable Australia,,,
AL,2,MORAN,Matt,Sustainable Australia,,,
UG,1,REDDY,Shyamal,Independent,,,
UG,2,McMAHON,Greg,Independent,,,
UG,3,BUNDY,David,Independent,,,
UG,4,VUGA,Kim,Independent,,,
UG,5,SAVAGE,Jim,Independent,,,
UG,6,MOORE,Tony R.,Independent,,,
UG,7,POTTER,Josephine,Independent,,,
UG,8,STEVENSON,Paul Joseph,Independent,,,
UG,9,ANDERSON,Marshal,Independent,,,
UG,10,EUGARDE,Ian,Independent,,,
UG,11,BOYD,Julie,Independent,,,
UG,12,HANNA-McGUFFIE,Leeanne,Independent,,,
UG1,1,HARRIS,Zoemaree,Independent,,,
UG1,2,KAFF,Michael,Independent,,,
UG1,3,JORGENSEN,Terry,Independent,,,
UG1,4,PEAD,Gary James,Independent,,,
UG1,5,GIBSON,John,Independent,,,
UG1,6,MARRIAGE,Belinda,Independent,,,
UG1,7,BEATTIE,Greg,Independent,,,
